player_class,enemy_class,player_level,enemy_level,player_hp_start,enemy_hp_start,player_attack,enemy_attack,player_def,enemy_def,player_vel,enemy_vel,wins,total_fights
1,5,4,2,24,78,20,4,19,17,16,4,781,1000
1,6,4,2,24,38,20,9,19,12,16,8,825,1000
1,7,4,1,24,24,20,14,19,5,16,7,1000,1000
2,0,4,1,17,26,24,11,15,7,13,5,1000,1000
2,1,4,1,17,43,24,5,15,16,13,6,800,1000
2,2,4,1,17,36,24,6,15,7,13,5,1000,1000
2,3,4,1,17,57,24,10,15,8,13,11,777,1000
2,4,4,1,17,42,24,12,15,7,13,10,822,1000
2,5,4,2,17,52,24,4,15,17,13,4,793,1000
2,6,4,2,17,57,24,9,15,12,13,8,810,1000
2,7,4,1,17,24,24,14,15,5,13,7,1000,1000
3,0,4,1,20,26,21,11,17,7,15,5,1000,1000
3,1,4,1,20,65,21,5,17,16,15,6,785,1000
3,2,4,1,20,24,21,6,17,7,15,5,1000,1000
3,3,4,1,20,38,21,10,17,8,15,11,793,1000
3,4,4,1,20,28,21,12,17,7,15,10,987,1000
3,5,4,2,20,52,21,4,17,17,15,4,778,1000
3,6,4,2,20,38,21,9,17,12,15,8,795,1000
3,7,4,1,20,24,21,14,17,5,15,7,1000,1000
0,0,5,1,32,26,18,11,28,7,13,5,1000,1000
0,1,5,1,32,43,18,5,28,16,13,6,807,1000
0,2,5,1,32,24,18,6,28,7,13,5,1000,1000
0,3,5,1,32,38,18,10,28,8,13,11,802,1000
0,4,5,1,32,28,18,12,28,7,13,10,802,1000
0,5,5,2,32,52,18,4,28,17,13,4,24,1000
0,6,5,2,32,38,18,9,28,12,13,8,782,1000
0,7,5,1,32,36,18,14,28,5,13,7,998,1000
1,0,5,1,24,26,21,11,20,7,17,5,1000,1000
1,1,5,1,24,43,21,5,20,16,17,6,819,1000
1,2,5,1,24,24,21,6,20,7,17,5,1000,1000
1,3,5,1,24,38,21,10,20,8,17,11,834,1000
1,4,5,1,24,28,21,12,20,7,17,10,999,1000
1,5,5,2,24,52,21,4,20,17,17,4,818,1000
1,6,5,2,24,38,21,9,20,12,17,8,809,1000
1,7,5,1,24,36,21,14,20,5,17,7,1000,1000
2,0,5,1,17,26,25,11,16,7,14,5,1000,1000
2,1,5,1,17,43,25,5,16,16,14,6,803,1000
2,2,5,1,17,24,25,6,16,7,14,5,1000,1000
2,3,5,1,17,38,25,10,16,8,14,11,794,1000
2,4,5,1,17,28,25,12,16,7,14,10,891,1000
2,5,5,2,17,52,25,4,16,17,14,4,802,1000
2,6,5,2,17,38,25,9,16,12,14,8,812,1000
2,7,5,1,17,24,25,14,16,5,14,7,1000,1000
3,0,5,1,20,39,22,11,18,7,16,5,1000,1000
3,1,5,1,20,43,22,5,18,16,16,6,796,1000
3,2,5,1,20,36,22,6,18,7,16,5,1000,1000
3,3,5,1,20,38,22,10,18,8,16,11,804,1000
3,4,5,1,20,28,22,12,18,7,16,10,996,1000
3,5,5,2,20,52,22,4,18,17,16,4,787,1000
3,6,5,2,20,57,22,9,18,12,16,8,859,1000
3,7,5,1,20,24,22,14,18,5,16,7,1000,1000
